timestamp,netid,ruid,data_structures,calculus_and_linear_algebra,probability_and_statistics,data_visualization,python_libraries,shell_scripting,sql,python_scripting,jupyter_notebook,regression,programming_languages,algorithms,complexity_measures,visualization_tools,massive_data_processing,quiz_score
2025-09-03 10:25:04 -1200,373e6a3439,8692d6dfdf8c90dade,21,15,39,21,12,0,1,1,1,3,19,0,0,0,0,62.12116377712289
2025-09-03 11:27:47 -1100,c5c99ed8de,60723b393964783139,16,11,26,0,6,1,1,1,5,3,11,7,5,3,0,47.94238359667496
2025-09-03 12:31:07 -1000,040e550b0c,2534797c7c23317c7a,26,10,35,27,10,1,5,5,5,3,20,12,6,8,0,48.1533963227628
2025-09-03 12:35:07 -1000,706e27737827,e1f0bfb8b8e6f9bcbb,17,11,22,26,12,5,5,0,5,3,14,13,4,2,1,63.01340534416893
2025-09-03 12:39:05 -1000,54490a53500a,fceeaca5a5fbeea3ac,35,15,44,35,16,5,5,5,5,15,22,26,10,14,6,98.155
2025-09-03 13:06:50 -0900,e8fee3ece3,8193dbd8d88390dfd9,29,15,26,26,13,1,0,0,0,4,21,8,5,6,3,65.39145699592088
2025-09-03 13:06:59 -0900,a3acffa0ad,1b0846424218094b46,21,7,15,18,12,1,5,1,5,0,15,2,0,9,4,52.89045981700647
2025-09-03 13:08:17 -0900,6370237a7325,fceea6a5a5fee8ada6,26,16,36,25,13,1,5,1,0,2,17,12,5,2,3,72.24645238106642
2025-09-03 13:29:53 -0900,f3edfaf9faa5,b8a9e2e1e1baaee7e4,24,20,43,35,20,0,5,5,5,9,25,22,9,22,8,46.75281779905804
2025-09-03 14:29:11 -0800,716573707023,e6f7b7bfbfedf0bbbe,0,10,0,13,11,1,1,0,1,3,12,7,2,5,0,43.93073543435235
2025-09-03 15:07:25 -0700,2c37772628,6a703530306d7f3834,0,9,25,20,14,1,5,0,5,0,16,11,0,1,1,49.58024365151406
2025-09-03 15:09:17 -0700,9681919f9c,8694dddfdf8693d8df,27,12,19,20,10,1,0,5,5,5,14,14,3,0,0,67.10882339845094
2025-09-03 15:10:24 -0700,dfcdc3c6ce98,dbca858282dbcd8582,20,20,45,31,0,1,1,1,5,0,16,13,10,0,0,76.8949543418336
2025-09-03 15:13:33 -0700,bbadb4bdbd,889ad4d1d1889bd0d8,23,18,40,34,0,1,0,5,1,13,12,9,1,5,2,77.68187526462904
2025-09-03 15:21:38 -0700,c5d4dfdadd8c,1c0f474545190f4d42,25,19,42,28,14,1,5,5,5,5,14,22,5,3,0,70.7130480719191
2025-09-03 15:36:36 -0700,2f202c2927,01135a585806115859,32,24,31,32,20,5,5,5,5,13,16,0,4,1,1,68.57802030783063
2025-09-03 15:38:18 -0700,636c6760613e,7c6e2c25257b652227,23,15,32,26,3,1,1,5,5,7,15,11,5,2,1,50.74373625733085
2025-09-03 16:08:20 -0600,6c656d6e683e,9d8cc7c4c49f8bc7c2,23,13,40,26,10,1,0,1,5,12,19,7,1,8,3,43.70403377184988
2025-09-03 16:08:24 -0600,8193df8b88,8796d8dede8290dfd7,21,20,52,21,12,1,0,0,5,9,17,25,6,7,0,78.14422790880263
2025-09-03 16:11:47 -0600,cadb82d9d5,feeca3a7a7fee6a3a1,20,11,32,21,12,1,0,0,5,3,13,12,3,6,1,62.55976293321373
2025-09-03 16:22:12 -0600,555f5b5f5f,d6c78a8f8fdcc78d86,4,0,26,7,4,5,0,0,0,3,7,7,4,7,3,51.302048613090435
2025-09-03 16:36:37 -0600,9491999b9dc3,ccde919595cbdb9095,0,15,28,27,1,0,5,0,5,0,14,14,0,4,2,60.25566078013531
2025-09-03 16:38:35 -0600,6e7832636338,cad8919393c0d89a93,11,8,31,18,4,1,1,1,5,3,5,12,6,0,0,63.56544144945176
2025-09-03 17:26:09 -0500,eef7a3e5e6,03125d5a5a06105b5d,35,19,39,34,18,1,0,0,5,6,25,25,6,12,0,83.69387324588037
2025-09-03 17:28:56 -0500,dec2dadedf87,3e2c656767382f666f,21,14,31,12,2,1,1,1,0,2,19,11,0,1,1,54.48543087423387
2025-09-03 17:34:35 -0500,8b8a9b9497,26377b7f7f2136787a,23,16,29,24,0,1,5,0,5,3,24,22,8,0,4,76.73152113899354
2025-09-03 17:36:22 -0500,9a899f989a,6a783533336f7b3331,18,9,25,16,0,1,0,1,1,3,13,14,4,0,0,55.329648684233575
2025-09-03 18:05:49 -0400,fce8fefdf5a0,33226d6a6a3425686a,4,13,13,14,4,1,1,1,1,0,6,4,1,0,0,11.722189381180433
2025-09-03 18:06:41 -0400,d3ca9bdadc85,f5e7a8acacf3ecaeaa,29,16,34,13,2,1,1,0,1,1,19,11,6,0,0,54.38933034103412
2025-09-03 18:21:33 -0400,3a2d3138356e,1e0c4447471c0f4042,17,15,25,18,6,0,0,0,0,3,14,5,1,1,0,56.25950035921137
2025-09-03 18:22:47 -0400,5d504543461b,0f1d55565609195250,22,15,22,22,9,0,5,0,0,4,15,0,0,9,1,52.18323166663753
2025-09-03 18:29:27 -0400,dec3ddd2d3,1301484a4a180a424f,21,11,27,26,13,1,5,0,0,4,19,14,4,5,0,52.66889392106653
2025-09-03 18:31:10 -0400,d1cf93d1d982,c8d9969191c8d19094,26,18,34,27,11,1,0,5,0,4,0,17,5,0,0,70.83571390503228
2025-09-03 18:31:11 -0400,a7afa4a7a6ff,8e9fd0d7d78996d6d3,20,20,44,0,4,0,0,0,5,0,13,7,4,0,0,43.00134447725422
2025-09-03 18:33:54 -0400,717b747272,3b296062623d2c6765,22,12,23,16,4,1,5,1,0,0,13,11,0,0,1,28.598041102186365
2025-09-03 18:36:24 -0400,62633b787921,daca8b8383d9c38385,15,7,6,10,2,5,5,1,5,0,13,13,1,1,0,50.164637885282104
2025-09-03 19:09:18 -0300,6d61316e6432,04165e5d5d03175e54,0,0,40,26,10,5,0,0,0,4,24,25,2,2,3,50.06765807401095
2025-09-03 19:14:12 -0300,67772b7b7b,6e7c363737657c3737,28,15,39,21,16,0,0,5,5,6,16,15,6,4,6,53.81177265642229
2025-09-03 19:18:44 -0300,8f96d28b87d0,0c1d565555091b5253,12,8,7,25,8,0,1,0,0,0,12,4,1,2,0,49.08032155293343
2025-09-03 19:22:47 -0300,2e223536346d,f2e0aaababf8e6a9a3,27,22,52,26,14,1,5,0,5,5,14,16,4,0,1,81.51805942077286
2025-09-03 19:24:59 -0300,dec580d7df8f,8f9dd2d6d68d97d0d7,25,24,47,18,10,0,5,1,0,3,21,22,9,2,5,83.43559619885698
2025-09-03 19:26:08 -0300,1d04481a1a49,decf818787dacc878f,29,9,21,28,10,1,0,5,0,11,16,16,10,1,1,64.0598183092582
2025-09-03 19:32:22 -0300,c0c5d9dfd886,0310585a5a03125e5b,24,15,30,27,4,1,0,5,5,3,16,16,7,7,4,43.525506062020625
2025-09-03 20:16:56 -0200,c4c796d4d7,4b591712124d521717,22,15,40,18,0,0,5,0,1,7,14,16,3,0,0,70.75310265016108
2025-09-03 21:10:29 -0100,adabebb6b3,60703e39396773313e,30,20,0,20,12,0,0,5,5,0,20,20,8,1,2,21.77390193085987
2025-09-03 21:17:01 -0100,cfcc86c7c09c,baabe6e3e3bfafe2ea,25,15,55,34,10,1,5,1,0,3,21,28,8,7,3,85.5403384622269
2025-09-03 21:32:36 -0100,75757c767e27,2637787f7f2c34777a,28,19,46,28,13,1,5,5,0,12,18,17,6,4,2,75.96230901834714
2025-09-03 22:07:40 +0000,dfd49bc1c69b,17054b4e4e140f4b4f,20,5,37,26,0,5,5,0,1,0,6,25,6,23,10,75.80620042796977
2025-09-03 22:09:15 +0000,121f0a0d0854,6e7f3237376b7a3130,0,19,46,35,20,0,5,0,0,3,23,12,6,21,0,79.00364872904828
2025-09-03 22:09:39 +0000,6668646765,05175f5c5c03145d5c,27,17,54,29,15,5,5,5,5,0,28,25,8,23,0,56.73095332294618
2025-09-03 22:11:09 +0000,5a4d06585f,beade7e7e7bbaae2e1,12,12,8,11,7,1,0,5,5,1,16,5,2,3,1,52.194872127683084
2025-09-03 22:12:08 +0000,8b8a848187,edffb0b4b4edf4b3b2,22,15,44,22,5,1,5,1,1,8,17,16,2,7,3,74.70776513426009
2025-09-03 22:14:49 +0000,0506401c1e45,d1c1898888d7c38c88,28,15,38,26,10,1,5,0,5,3,16,15,10,8,4,75.45426029937857
2025-09-03 22:22:08 +0000,eaecb4edea,8d9dd4d4d48f99d0d0,14,5,5,13,4,1,5,1,1,0,8,7,0,0,0,34.195
2025-09-03 22:27:59 +0000,4a4f00414012,a3b9f0f9f9a5b3fdfa,22,15,38,22,6,1,1,1,1,3,13,15,4,3,0,73.69198544493726
2025-09-03 22:28:53 +0000,322d323a346a,54460e0d0d5347050b,25,14,31,24,12,1,5,5,5,0,18,0,0,2,1,60.99375808045997
2025-09-03 22:29:55 +0000,9291cd888e,04165c5d5d0513595f,20,14,18,13,11,1,0,5,0,11,16,4,0,3,2,60.46197555225758
2025-09-03 22:30:09 +0000,3837202523,5e4c0007075b4c0101,26,10,33,19,8,5,5,0,5,4,25,9,2,7,3,63.270791569284725
2025-09-03 23:08:31 +0100,c0cf8ad9da87,9584cacccc9785c5c8,0,20,53,30,9,0,0,5,5,6,19,0,8,1,0,60.35821291303331
2025-09-03 23:16:47 +0100,02101e1a1343,9081cdc9c99186c9c8,27,19,55,34,15,1,5,5,5,12,15,21,6,11,2,86.83109224727708
2025-09-03 23:25:17 +0100,0c1e1011174b,8193dbd8d88297ded0,21,14,31,12,2,1,1,1,1,2,19,11,0,1,1,55.25571260387959
2025-09-03 23:31:04 +0100,70686a6263,8191d8d8d88b94ddd1,28,16,43,32,12,0,5,0,5,7,0,35,7,14,12,88.35772482789163
2025-09-03 23:32:26 +0100,0c014b13,9686c7cfcf9681ccc8,11,5,17,11,2,1,0,1,1,0,5,4,2,0,0,19.270483802252322
2025-09-03 23:38:31 +0100,4d4c05454418,a8baf3f1f1abb1f5f9,28,18,13,24,0,1,1,0,5,0,12,8,0,0,0,57.422869447643635
2025-09-04 00:09:09 +0200,7c6022727a21,9485c8cdcd9185cec8,17,12,19,10,0,1,1,1,1,4,17,0,0,4,0,52.27727418200725
2025-09-04 00:11:33 +0200,fbe9b9fffca4,e2f1bcbbbbe5f7bbbb,18,10,24,15,1,5,5,1,1,0,15,9,6,0,0,24.788494977793675
2025-09-04 00:12:03 +0200,5f42075a58,22337c7b7b26367a7f,26,14,35,32,10,0,5,0,0,0,11,14,5,2,0,51.43557319506399
2025-09-04 00:15:23 +0200,383d2123247e,45551b1c1c415c141e,25,11,42,35,8,1,5,0,5,3,14,16,10,0,1,76.07614413097919
